	date	state	school	type_school	death	suicide	number_victims	reliability	category	address	lat	lon
40	1972-01-05	DC	Parkview Elementary School	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Parkview Elementary School, Washington, DC, United States	38.9345928	-77.02139129999999
41	1972-01-24	OH	Stow High School	K-12	0	0.0	0	4.0	Anger Over Grade/Suspension/Discipline	Stow High School, Stow, OH, United States	41.1680875	-81.3971091
42	1972-01-26	MD	Harlem Park Junior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Harlem Park Junior High School, Baltimore, MD, United States	39.2987111	-76.6411846
43	1972-01-26	MD	Gwynn Falls Junior High School	K-12	0	0.0	0	2.0	Accidental	Gwynn Falls Junior High School, Baltimore, MD, United States	39.3309194	-76.63788679999999
44	1972-02-14	IL	Camlumet High School	K-12	1	0.0	1	2.0	Gang-related	Camlumet High School, Chicago, IL, United States	41.7458355	-87.6520244
45	1972-02-15	IL	Kenwood High School	K-12	1		1	2.0	Officer Involved Shooting	Kenwood High School, Chicago, IL, United States	41.8033311	-87.5893833
46	1972-02-28	CA	Markham Junior High School	K-12	0	0.0	0	2.0	Accidental	Markham Junior High School, Los Angeles, CA, United States	33.9410832	-118.2457641
47	1972-03-13	TX	Unnamed Junior High School	K-12	0	0.0	0	2.0	Accidental	Unnamed Junior High School, Houston, TX, United States	29.7016228	-95.4387495
48	1972-04-12	LA	East Ascension Junior High	K-12	1	1.0	1	2.0	Domestic w/ Targeted Victim	East Ascension Junior High, Gonzales, LA, United States	30.2282633	-90.9150301
49	1972-05-04	NV	Libby Booth Elementary School	K-12	1	0.0	1	2.0	Murder	Libby Booth Elementary School, Reno, NV, United States	39.520756	-119.794594
50	1972-05-05	IN	Decatur Central High School	K-12	1	0.0	1	2.0	Mental Health	Decatur Central High School, Indianapolis, IN, United States	39.6877735	-86.27685989999999
51	1972-09-14	TX	Francis Scott Key Junior High	K-12	0	0.0	0	3.0	Escalation of Dispute	Francis Scott Key Junior High, Houston, TX, United States	29.812152	-95.32972699999999
52	1972-09-15	MI	Saginaw High School	K-12	0	0.0	0	2.0	Unknown	Saginaw High School, Saginaw, MI, United States	43.40630669999999	-83.9257097
53	1972-09-19	TX	Cullen Junior High	K-12	0	0.0	0	3.0	Domestic w/ Targeted Victim	Cullen Junior High, Houston, TX, United States	29.6913412	-95.36382719999999
54	1972-09-21	OH	Thorton Junior High	K-12	0	0.0	0	2.0	Robbery	Thorton Junior High, Akron, OH, United States	41.0663777	-81.5289402
55	1972-11-11	CA	Jefferson High School	K-12	0	0.0	0	2.0	Gang-related	Jefferson High School, Los Angeles, CA, United States	34.0108793	-118.2510101
56	1972-11-27	MI	Pontiac Central High School	K-12	0	0.0	0	2.0	Racial	Pontiac Central High School, Pontiac, MI, United States	42.6389216	-83.29104679999999
57	1972-11-29	FL	Miami Northwest High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Miami Northwest High School, Miami, FL, United States	25.839045	-80.2136695
58	1973-01-05	NC	South Iredell High School	K-12	0	0.0	0	2.0	Racial	South Iredell High School, Statesville, NC, United States	35.7163686	-80.9104741
59	1973-01-18	LA	John Marshall High School	K-12	0	0.0	0	2.0	Robbery	John Marshall High School, Los Angeles, LA, United States	34.1079309	-118.2774744
60	1973-01-31	NC	Cumming High School	K-12	0	0.0	0	2.0	Illegal Drug Related	Cumming High School, Burlington, NC, United States	36.0886279	-79.39663759999999
61	1973-02-12	AL	Booker T. Washington High SChool	K-12	0	0.0	0	2.0	Escalation of Dispute	Booker T. Washington High SChool, Montgomery, AL, United States	32.348503	-86.3559152
62	1973-02-26	VA	Armstrong High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Armstrong High School, Richmond, VA, United States	37.5524906	-77.40387779999999
63	1973-04-05	CA	Locke High School	K-12	0	0.0	0	2.0	Gang-related	Locke High School, Los Angeles, CA, United States	33.9353785	-118.268409
64	1973-05-01	OH	Rayen High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Rayen High School, Youngtown, OH, United States	41.1020962	-80.6477754
65	1973-09-28	CA	Wilson High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Wilson High School, Los Angeles, CA, United States	34.0699853	-118.1862623
66	1973-10-02	IL	Elmhurst Wood Park Community High School	K-12	1	1.0	2	2.0	Murder/Suicide	Elmhurst Wood Park Community High School, Almwood Park, IL, United States	41.9223035	-87.82964679999999
67	1973-10-19	MO	Beaumont High School	K-12	1	0.0	1	2.0	Gang-related	Beaumont High School, St. Louis, MO, United States	38.6625317	-90.2219602
68	1973-10-23	MO	Sumner High School	K-12	0	0.0	0	2.0	Gang-related	Sumner High School, St. Louis, MO, United States	38.6596524	-90.23892320000002
69	1973-10-23	OH	Barberton High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Barberton High School, Barberton, OH, United States	41.0257261	-81.6079922
70	1973-10-24	MN	Central High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Central High School, Minneapolis, MN, United States	44.9489021	-93.1484443
71	1973-10-31	MO	Northwestern High School	K-12	0	0.0	0	2.0	Unknown	Northwestern High School, St. Louis, MO, United States	38.70117219999999	-90.25557529999999
72	1973-11-08	IL	Woodell Phillips High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Woodell Phillips High School, Chicago, IL, United States	41.8240477	-87.6197929
73	1973-11-09	CA	Long Beach Polytechnic High School	K-12	1	0.0	1	2.0	Gang-related	Long Beach Polytechnic High School, Los Angeles, CA, United States	33.7868045	-118.1829363
74	1973-12-06	CA	Fremont High School	K-12	0	0.0	0	2.0	Gang-related	Fremont High School, Los Angeles, CA, United States	33.9698447	-118.2691485
75	1973-12-13	OH	Hughes High School	K-12	0	0.0	0	2.0	Robbery	Hughes High School, Cincinnati, OH, United States	39.128662	-84.52168600000002
76	1974-01-17	IL	Barton Elementary School	K-12	1	0.0	1	2.0	Anger Over Grade/Suspension/Discipline	Barton Elementary School, Chicago, IL, United States	41.7546087	-87.6713822
77	1974-01-22	CA	Locke High School	K-12	1	0.0	1	2.0	Gang-related	Locke High School, Los Angeles, CA, United States	33.9353785	-118.268409
78	1974-02-07	CA	James Madison Junior High School	K-12	1	0.0	2	2.0	Indiscriminate Shooting	James Madison Junior High School, Oakland, CA, United States	37.7266434	-122.179217
79	1974-03-22	IN	Brownstown Central High School	K-12	1	0.0	1	2.0	Unknown	Brownstown Central High School, Brownstown, IN, United States	38.8859036	-86.0457121
80	1974-04-02	CT	St. Stephen's Parochial School	K-12	0	0.0	0	2.0	Unknown	St. Stephen's Parochial School, Bridgeport, CT, United States	41.1602885	-73.215892
81	1974-05-10	TN	Church Hill High School	K-12	1	0.0	1	3.0	Escalation of Dispute	Church Hill High School, Rogersville, TN, United States	36.5259569	-82.7101101
82	1974-05-19	FL	Highlands Elementary School	K-12	0	0.0	0	2.0	Domestic w/ Targeted Victim	Highlands Elementary School, Orlando, FL, United States	28.317647	-81.411492
83	1974-09-23	CA	Jefferson High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Jefferson High School, Daly City, CA, United States	37.6956653	-122.4660072
84	1974-09-25	CA	San Fernando High School	K-12	0	0.0	0	2.0	Escalation of Dispute	San Fernando High School, Los Angeles, CA, United States	34.2728671	-118.4428079
85	1974-10-07	LA	Destrehan High School	K-12	1	0.0	1	3.0	Racial	Destrehan High School, Hahnville, LA, United States	29.9651555	-90.38308549999999
86	1974-10-21	MD	Douglass High School	K-12	0	0.0	0	2.0	Murder	Douglass High School, Baltimore, MD, United States	39.3147394	-76.6549423
87	1974-11-18	SC	C. A. Brown High School	K-12	0	0.0	0	2.0	Gang-related	C. A. Brown High School, Charleston, SC, United States	32.7979541	-79.9361991
88	1974-11-21	AR	Booker Junior High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Booker Junior High School, Little Rock, AR, United States	34.7289811	-92.26181609999999
89	1974-11-25	SC	C. A. Brown High School	K-12	0	0.0	0	2.0	Gang-related	C. A. Brown High School, Charleston, SC, United States	32.7979541	-79.9361991
90	1974-12-18	CA	Manual Arts High School	K-12	1	0.0	1	2.0	Gang-related	Manual Arts High School, Los Angeles, CA, United States	34.0082618	-118.2921733
91	1974-12-30	NY	Olean High School	K-12	1	0.0	3	3.0	Indiscriminate Shooting	Olean High School, Olean, NY, United States	42.0825621	-78.4345543
92	1975-02-07	NY	Board of Cooperative Educational Services	K-12	0	1.0	0	2.0	Suicide/Attempted	Board of Cooperative Educational Services, Minola, NY, United States	40.761799	-73.368906
93	1975-02-24	NJ	St. James School	K-12	1	0.0	1	2.0	Mental Health	St. James School, Penns Grove, NJ, United States	39.726944	-75.4722898
94	1975-03-12	TX	Jones High School	K-12	0	0.0	0	3.0	Escalation of Dispute	Jones High School, Houston, TX, United States	29.6741447	-95.3399432
95	1975-03-18	MO	Sumner High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Sumner High School, St. Louis, MO, United States	38.6596524	-90.23892320000002
96	1975-03-21	VA	Fairmount Elementary School	K-12	0	0.0	0	2.0	Accidental	Fairmount Elementary School, Richmond, VA, United States	39.1107209	-94.45817249999999
97	1975-03-21	OH	Patterson Cooperative High School	K-12	0	0.0	0	2.0	Robbery	Patterson Cooperative High School, Dayton, OH, United States	39.759123	-84.175196
98	1975-05-15	MO	Rock Junior High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Rock Junior High School, St. Louis, MO, United States	38.62699509999999	-90.14844269999999
99	1975-05-27	MI	Pitcher School	K-12	1	0.0	1	2.0	Escalation of Dispute	Pitcher School, Detroit, MI, United States	42.4365893	-83.2285989
100	1975-07-09	IL	Dett Elementary School	K-12	0	0.0	0	2.0	Domestic w/ Targeted Victim	Dett Elementary School, Chicago, IL, United States	41.8797104	-87.6804568
101	1975-07-11	MO	Central High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Central High School, St. Louis, MO, United States	38.6046182	-90.2708809
102	1975-09-11	OK	Grant High School	K-12	1	0.0	1	5.0	Racial	Grant High School, Oklahoma City, OK, United States	35.4154053	-97.5447626
103	1975-10-01	NM	Hermosa Elementary School	K-12	1	0.0	1	3.0	Unknown	Hermosa Elementary School, Artesia, NM, United States	32.8272176	-104.4035617
104	1975-10-24	GA	Murphy High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Murphy High School, Atlanta, GA, United States	33.7465027	-84.33124649999999
105	1975-12-18	CA	Orange High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Orange High School, Santa Ana, CA, United States	33.7963832	-117.8483638
106	1976-01-01	AZ	Camelback High School	K-12	0	0.0	0	2.0	Intentional Property Damage	Camelback High School, Phoenix, AZ, United States	33.50538179999999	-112.0232069
107	1976-01-23	OH	Columbus Central High School	K-12	1	0.0	1	2.0	Unknown	Columbus Central High School, Columbus, OH, United States	39.9577849	-83.02285719999999
108	1976-02-06	FL	Escambia High School	K-12	0	0.0	0	3.0	Racial	Escambia High School, Pensacola, FL, United States	30.4268169	-87.2996598
109	1976-02-12	MI	Murray-Wright High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Murray-Wright High School, Detroit, MI, United States	42.3494717	-83.0836558
110	1976-04-12	TX	O. D. Wyatt High School	K-12	1	0.0	1	2.0	Escalation of Dispute	O. D. Wyatt High School, Fort Worth, TX, United States	32.6836655	-97.2942525
111	1976-05-13	MO	Mark Twain School	K-12	0	0.0	0	2.0	Escalation of Dispute	Mark Twain School, St. Louis, MO, United States	38.6165583	-90.34347559999999
112	1976-05-14	FL	Palm Beach Gardens High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Palm Beach Gardens High School, West Palm Beach, FL, United States	26.825103	-80.101136
113	1976-06-02	MD	Mt. Savage High School	K-12	0	0.0	0	2.0	Intentional Property Damage	Mt. Savage High School, Cumberland, MD, United States	39.700877	-78.8802608
114	1976-09-20	NC	Guildord County School Bus	K-12	1	1.0	1	2.0	Suicide/Attempted	Guildord County School Bus, Greensboro, NC, United States	36.0791926	-79.7412446
115	1976-11-10	MI	Burt Elementary School	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Burt Elementary School, Detroit, MI, United States	42.4065389	-83.2445568
116	1976-12-10	MO	Fremont School	K-12	0	0.0	0	2.0	Unknown	Fremont School, St. Louis, MO, United States	38.6006072	-90.21900099999999
117	1977-01-13	IL	Old Main Eisenhower High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Old Main Eisenhower High School, Blue Island, IL, United States	41.6616695	-87.69595389999999
118	1977-02-09	IL	Fenger High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Fenger High School, Chicago, IL, United States	41.6897069	-87.63784
119	1977-02-28	TX	Horace Mann Junior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Horace Mann Junior High School, Amarillo, TX, United States	35.218386	-101.8287968
120	1977-02-28	MO	Roosevelt High School	K-12	0	0.0	0	4.0	Escalation of Dispute	Roosevelt High School, St. Louis, MO, United States	38.6002121	-90.2368527
121	1977-03-08	IL	Collinsville High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Collinsville High School, Edwardsville, IL, United States	38.64698	-90.01134300000001
122	1977-03-21	NY	Parochial School	K-12	0	0.0	0	2.0	Accidental	Parochial School, Hamburg, NY, United States	42.7164618	-78.8265845
123	1977-04-07	TX	Whitharral High School	K-12	1	0.0	1	3.0	Mental Health	Whitharral High School, Whitharral, TX, United States	33.7378829	-102.3266243
124	1977-04-18	TN	Pioneer Christian Academy	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Pioneer Christian Academy, Nashville, TN, United States	36.296088	-86.773883
125	1977-05-17	FL	Stone Middle School	K-12	0	0.0	0	2.0	Intentional Property Damage	Stone Middle School, Cocoa, FL, United States	28.3758887	-80.75599679999999
126	1977-06-22	IL	Holy Trinity High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Holy Trinity High School, Chicago, IL, United States	41.9032469	-87.6639604
127	1977-07-11	CO	South Junior High School	K-12	0	0.0	0	2.0	Unknown	South Junior High School, Colorado Springs, CO, United States	38.783289	-104.821372
128	1977-11-29	MO	Vashon High School	K-12	0	0.0	0	2.0	Unknown	Vashon High School, St. Louis, MO, United States	38.6480243	-90.2210954
129	1977-11-29	MO	Hazelwood Central Senior High School	K-12	0	0.0	0	2.0	Indiscriminate Shooting	Hazelwood Central Senior High School, St. Louis, MO, United States	38.8301158	-90.31588339999999
130	1977-12-09	CA	Petaluma McNear Elementary	K-12	0	0.0	0	2.0	Domestic w/ Targeted Victim	Petaluma McNear Elementary, Santa Rosa, CA, United States	38.2231456	-122.6365764
131	1977-12-12	FL	West Orange High School	K-12	1	0.0	1	2.0	Murder	West Orange High School, Winter Garden, FL, United States	28.5406621	-81.56842750000001
132	1977-12-15	MA	Blue Hills Vocational High School	K-12	0	0.0	0	2.0	Unknown	Blue Hills Vocational High School, Canton, MA, United States	42.1834614	-71.1032982
133	1978-01-11	KY	Christian County Middle School	K-12	0	0.0	0	2.0	Escalation of Dispute	Christian County Middle School, Hopkinsville, KY, United States	36.8765176	-87.4914568
134	1978-02-09	WV	Hayes Junior High School	K-12	1	0.0	1	2.0	Bullying	Hayes Junior High School, St. Albans, WV, United States	38.3732171	-81.8419885
135	1978-02-22	MI	Everett High School	K-12	1	0.0	1	2.0	Bullying	Everett High School, Lansing, MI, United States	42.6931191	-84.55677899999999
136	1978-03-09	CA	Monroe Elementary School	K-12	0	0.0	0	2.0	Accidental	Monroe Elementary School, Santa Rosa, CA, United States	38.456273	-122.752481
137	1978-03-29	TN	Gallatin Junior High School	K-12	0	0.0	0	2.0	Racial	Gallatin Junior High School, Nashville, TN, United States	36.0571742	-86.7239333
138	1978-04-14	MI	Fordson High School	K-12	0	0.0	0	2.0	Unknown	Fordson High School, Detroit, MI, United States	42.3306114	-83.1787564
139	1978-04-26	TX	Paul Dunbar Elementary School	K-12	1	0.0	1	3.0	Anger Over Grade/Suspension/Discipline	Paul Dunbar Elementary School, Dallas, TX, United States	32.7749288	-96.7493497
140	1978-04-28	IL	Ridgewood High School	K-12	1	0.0	2	2.0	Unknown	Ridgewood High School, Norridge, IL, United States	41.9613366	-87.8151834
141	1978-05-18	TX	Murchison Junior High School	K-12	1	0.0	1	3.0	Anger Over Grade/Suspension/Discipline	Murchison Junior High School, Austin, TX, United States	30.3540274	-97.7586065
142	1978-05-19	PA	Downtown Junior High School	K-12	0	0.0	0	2.0	Unknown	Downtown Junior High School, Philadelphia, PA, United States	39.9578906	-75.2385149
143	1978-06-07	DE	Dover Air High	K-12	1	0.0	1	2.0	Accidental	Dover Air High, Dover, DE, United States	39.12773	-75.4684352
144	1978-06-10	MA	Weymouth South High School	K-12	0	1.0	0	2.0	Suicide/Attempted	Weymouth South High School, Weymouth, MA, United States	42.182334	-70.94324499999999
145	1978-10-17	AL	Lanett Junior High School	K-12	0	0.0	0	2.0	Anger Over Grade/Suspension/Discipline	Lanett Junior High School, Lanett, AL, United States	32.8565288	-85.1970425
146	1978-10-17	MO	University City High School	K-12	0	0.0	0	2.0	Escalation of Dispute	University City High School, University City, MO, United States	38.66508779999999	-90.3293029
147	1978-11-29	NY	Park West High School	K-12	0	0.0	0	2.0	Accidental	Park West High School, New York, NY, United States	40.7653291	-73.9930871
148	1978-12-14	CT	Wilbur Cross High School	K-12	1	0.0	1	2.0	Robbery	Wilbur Cross High School, New Haven, CT, United States	41.3239572	-72.90760709999999
149	1979-01-29	CA	Grover Cleveland Elementary School	K-12	1	0.0	3	2.0	Mental Health	Grover Cleveland Elementary School, San Diego, CA, United States	32.7970777	-117.0113626
150	1979-03-14	FL	McArthur High School North	K-12	0	0.0	0	2.0	Robbery	McArthur High School North, Miami, FL, United States	26.0122991	-80.21739
151	1979-03-28	CA	Los Angeles High School	K-12	0	0.0	0	2.0	Robbery	Los Angeles High School, Los Angeles, CA, United States	34.0554228	-118.3329959
152	1979-04-16	WI	Wisconsin Lutheran High School	K-12	0	0.0	0	2.0	Self Defense	Wisconsin Lutheran High School, Milwaukee, WI, United States	43.0337278	-88.0163883
153	1979-04-25	PA	Martin L. Mattei Junior High School	K-12	0	0.0	0	2.0	Accidental	Martin L. Mattei Junior High School, Hughestown, PA, United States	41.33292480000001	-75.7794809
154	1979-04-26	TX	Azle Junior High School	K-12	1	0.0	1	2.0	Escalation of Dispute	Azle Junior High School, Azle, TX, United States	32.89249	-97.52997789999999
155	1979-06-14	OH	New Carlisle Elementary School	K-12	1	0.0	1	2.0	Accidental	New Carlisle Elementary School, New Carlisle, OH, United States	39.949418	-84.03342400000001
156	1979-09-26	LA	Carter G. Woodson Middle School	K-12	0	0.0	0	2.0	Escalation of Dispute	Carter G. Woodson Middle School, New Orleans, LA, United States	29.9396352	-90.09104839999999
157	1979-09-28	MA	Charlestown High School	K-12	0	0.0	0	3.0	Racial	Charlestown High School, Charlestown, MA, United States	42.3804138	-71.06095909999999
158	1979-10-23	MO	O'Fallen Technical High School	K-12	0	0.0	0	2.0	Escalation of Dispute	O'Fallen Technical High School, St. Louis, MO, United States	38.6214499	-90.26977529999999
159	1979-11-05	IN	Washington High School	K-12	0	0.0	0	2.0	Unknown	Washington High School, Indianapolis, IN, United States	39.7655047	-86.1991647
160	1979-11-30	TX	Not listed	K-12	0	0.0	0	3.0	Unknown	Not listed, Lewisville, TX, United States	33.046233	-96.994174
161	1979-12-03	MD	Eastern High School	K-12	0	0.0	0	2.0	Gang-related	Eastern High School, Baltimore, MD, United States	39.3273023	-76.6003569
162	1979-12-21	MO	Blewett Middle School	K-12	0	0.0	0	2.0	Escalation of Dispute	Blewett Middle School, St. Louis, MO, United States	38.6434234	-90.20372189999999
163	1980-01-07	AR	Stamps High School	K-12	1	0.0	1	2.0	Mental Health	Stamps High School, Stamps, AR, United States	33.3698711	-93.4810849
164	1980-01-29	VA	Lafayette High School	K-12	0	1.0	0	2.0	Suicide/Attempted	Lafayette High School, Williamsburg, VA, United States	37.3157667	-76.7639812
165	1980-02-01	DC	Langdon Elementary School	K-12	0	0.0	0	2.0	Accidental	Langdon Elementary School, Washington, DC, DC, United States	38.924521	-76.977459
166	1980-02-07	TX	Valley View Elementary School	K-12	0	0.0	0	2.0	Accidental	Valley View Elementary School, Longview, TX, United States	32.509714	-94.716943
167	1980-02-11	IN	Arsenal Technical High School	K-12	0	0.0	0	2.0	Illegal Drug Related	Arsenal Technical High School, Indianapolis, IN, United States	39.7773318	-86.1327721
168	1980-02-15	MS	Hughes School	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	Hughes School, McComb, MS, United States	31.2504946	-90.46317409999999
169	1980-03-20	TX	J. Leslie Patton School	K-12	1	0.0	1	2.0	Domestic w/ Targeted Victim	J. Leslie Patton School, Dallas, TX, United States	32.7043182	-96.82309049999999
170	1980-03-31	MD	Frederick Douglass Senior High School	K-12	0	0.0	0	2.0	Escalation of Dispute	Frederick Douglass Senior High School, Baltimore, MD, United States	39.3147394	-76.6549423
171	1980-04-17	VA	Capeville Elementary School	K-12	1	0.0	2	2.0	Domestic w/ Targeted Victim	Capeville Elementary School, Capeville, VA, United States	37.1995849	-75.9585417
172	1980-05-30	NY	Clara Barton High School	K-12	0	0.0	0	2.0	Accidental	Clara Barton High School, Brooklyn, NY, United States	40.6695301	-73.9618677
