date	all	school_shooting	mass_shooting	mass_murder	shooting
2009-12-06	2435969.0	30.0	11.0	13.0	1225.0
2009-12-07	2611213.0	27.0	11.0	20.0	1271.0
2009-12-08	2645920.0	33.0	10.0	11.0	1373.0
2009-12-09	2699425.0	31.0	15.0	25.0	1353.0
2009-12-10	2774041.0	36.0	13.0	27.0	1410.0
2009-12-11	2409073.0	35.0	15.0	22.0	1459.0
2009-12-12	2355503.0	21.0	9.0	16.0	1116.0
2009-12-13	2515450.0	26.0	10.0	20.0	1266.0
2009-12-14	2721929.0	34.0	10.0	19.0	1427.0
2009-12-15	2766484.0	38.0	12.0	17.0	1416.0
2009-12-16	2753575.0	23.0	7.0	16.0	1357.0
2009-12-17	916198.0	6.0	2.0	3.0	458.0
2009-12-18	0.0	0.0	0.0	0.0	0.0
2009-12-19	0.0	0.0	0.0	0.0	0.0
2009-12-20	0.0	0.0	0.0	0.0	0.0
2009-12-21	1399110.0	17.0	9.0	5.0	774.0
2009-12-22	2860201.0	24.0	15.0	17.0	1500.0
2009-12-23	2813391.0	11.0	6.0	24.0	1284.0
2009-12-24	2703766.0	21.0	8.0	11.0	1084.0
2009-12-25	2334642.0	26.0	6.0	6.0	952.0
2009-12-26	2243854.0	28.0	4.0	3.0	1154.0
2009-12-27	2506911.0	18.0	3.0	10.0	1183.0
2009-12-28	2840176.0	22.0	4.0	11.0	1321.0
2009-12-29	3137152.0	23.0	6.0	15.0	1561.0
2009-12-30	3758354.0	31.0	6.0	20.0	1820.0
2009-12-31	3546546.0	59.0	14.0	16.0	2185.0
2010-01-01	3099166.0	28.0	10.0	10.0	1813.0
2010-01-02	3195921.0	35.0	14.0	12.0	1607.0
2010-01-03	3451948.0	27.0	10.0	15.0	1542.0
2010-01-04	3727972.0	50.0	13.0	15.0	2097.0
2010-01-05	3809780.0	33.0	7.0	26.0	1974.0
2010-01-06	3893387.0	30.0	26.0	17.0	2264.0
2010-01-07	4090277.0	40.0	26.0	33.0	2630.0
