,Latitude,Longitude,Population
2913355,32.2938889,-111.00916670000001,15339.0
2913373,32.6577778,-114.4111111,30680.0
2913375,33.6116667,-111.71666670000002,23116.0
2913404,33.3527778,-111.78833329999999,170829.0
2913414,33.538611100000004,-112.1852778,240112.0
2913425,33.4352778,-112.3575,42738.0
2913449,31.8541667,-110.99305559999999,19310.0
2913607,35.1894444,-114.0522222,24431.0
2913648,34.4838889,-114.32166670000001,54752.0
2913734,32.4366667,-111.2247222,25553.0
2913764,33.4222222,-111.8219444,449878.0
2913860,31.3402778,-110.93361110000001,20707.0
2913902,32.3908333,-110.96583329999999,37221.0
2913941,33.531111100000004,-111.94194440000001,14400.0
2913965,34.2308333,-111.32444440000002,14737.0
2913974,33.580555600000004,-112.23666670000001,139368.0
2913986,33.4483333,-112.07333329999999,1428509.0
2914050,34.54,-112.4677778,40136.0
2914051,34.61,-112.315,32415.0
2914167,32.8338889,-109.70694440000001,8825.0
2914187,32.4869444,-114.7813889,21793.0
2914218,33.5091667,-111.89833329999999,225796.0
2914226,34.8697222,-111.7602778,11299.0
2914256,34.2541667,-110.02916670000002,9564.0
2914261,31.554444399999994,-110.3030556,41378.0
2914298,32.596388899999994,-114.70888889999999,9466.0
2914351,33.5975,-112.2711111,41078.0
2914352,33.661944399999996,-112.34055559999999,32813.0
2914399,33.6305556,-112.3325,65450.0
2914424,33.4147222,-111.9086111,158368.0
2914501,32.2216667,-110.9258333,518907.0
2914663,35.0241667,-110.69666670000001,10003.0
2914702,32.7252778,-114.6236111,84316.0
2914773,34.1208333,-93.0536111,11062.0
2914856,35.769722200000004,-91.6408333,9438.0
2914897,36.4813889,-94.27305559999999,21436.0
2914911,34.5644444,-92.5866667,24689.0
2914912,36.3727778,-94.20861109999998,31470.0
2914995,35.9272222,-89.91888890000001,16315.0
2915077,34.595833299999995,-92.4888889,15065.0
2915121,34.974444399999996,-92.01638890000001,20555.0
2915141,33.584444399999995,-92.8341667,12218.0
2915315,35.0886111,-92.4419444,51524.0
2915574,33.2075,-92.6661111,20353.0
2915669,36.0625,-94.1572222,64864.0
2915713,35.008055600000006,-90.7897222,14084.0
2915717,35.3858333,-94.3983333,81985.0
2915953,36.2297222,-93.1075,12468.0
2916069,33.6669444,-93.59138890000001,10382.0
2916079,34.5036111,-93.055,37470.0
2916135,34.866111100000005,-92.11,30520.0
2916168,35.8422222,-90.7041667,58619.0
2916351,34.7463889,-92.28944440000001,184217.0
2916430,33.26694439999999,-93.2391667,10300.0
2916434,34.3622222,-92.81277779999999,8965.0
2916455,35.2144444,-90.1963889,9227.0
2916476,34.8666667,-92.4041667,13822.0
2916587,33.6288889,-91.7908333,8954.0
2916638,36.3352778,-92.385,11798.0
2916732,34.7694444,-92.2669444,59078.0
2916850,36.0583333,-90.49722220000001,23450.0
2916932,34.228333299999996,-92.0030556,53217.0
2917145,36.3319444,-94.1183333,45524.0
2917194,35.2783333,-93.1336111,24972.0
2917251,35.250555600000006,-91.73611109999999,20154.0
2917286,34.815,-92.2241667,22495.0
2917305,36.188055600000006,-94.5402778,14634.0
2917372,36.1866667,-94.12861109999999,56402.0
2917420,34.5002778,-91.5525,9181.0
2917475,33.4416667,-94.0375,35315.0
2917590,35.4366667,-94.3480556,20932.0
2917705,34.5505556,-90.6416667,7679.0
2917709,35.1463889,-90.1844444,28065.0
2917878,34.5827778,-117.40833329999998,21955.0
2917888,34.1363889,-118.7736111,22222.0
2917901,37.7652778,-122.2405556,70443.0
2917903,37.8502778,-122.0311111,17764.0
2917907,37.8869444,-122.29666670000002,16144.0
2917921,34.0952778,-118.1261111,88386.0
2917926,33.6083333,-117.74444440000002,41314.0
2917938,33.889444399999995,-118.33,8028.0
2917941,32.835,-116.76555559999998,15391.0
2917957,34.1897222,-118.13027779999999,43226.0
2917972,38.175,-122.25972220000001,15513.0
2917977,33.8352778,-117.9136111,333689.0
2917980,40.4483333,-122.29666670000002,10684.0
2917999,38.005,-121.8047222,106038.0
2918005,34.5008333,-117.185,64271.0
2918009,36.9772222,-121.89833329999999,9701.0
2918020,34.1397222,-118.03444440000001,56716.0
2918021,40.8666667,-124.08166670000001,17199.0
2918046,35.1186111,-120.58972220000001,16613.0
2918050,33.8658333,-118.0822222,16992.0
2918053,35.209166700000004,-118.8275,14744.0
2918058,37.6947222,-122.11277779999999,23467.0
2918066,35.4894444,-120.66972220000001,27308.0
2918073,37.347777799999996,-120.60805559999999,29686.0
2918076,38.896666700000004,-121.07583329999999,12523.0
2918088,36.0041667,-120.12805559999998,16727.0
2918095,34.03611110000001,-117.99027779999999,15832.0
2918099,34.1336111,-117.90666670000002,48297.0
2918108,35.3733333,-119.01777779999999,291389.0
2918117,34.0852778,-117.96,80566.0
2918137,33.9255556,-116.87555559999998,30411.0
2918155,34.898611100000004,-117.02194440000001,24202.0
2918174,38.029166700000005,-121.96055559999999,24125.0
2918196,33.929444399999994,-116.9763889,18593.0
2918206,33.9775,-118.1861111,38335.0
2918207,33.9652778,-118.15055559999999,46119.0
2918218,33.881666700000004,-118.1161111,75847.0
2918223,37.5202778,-122.27472220000001,23998.0
2918233,38.0494444,-122.1575,26742.0
2918240,37.8716667,-122.27166670000001,100158.0
2918260,34.0736111,-118.39944440000001,35355.0
2918318,34.0702778,-117.395,22003.0
2918331,33.6102778,-114.59555559999998,22483.0
2918357,32.6577778,-117.02916670000002,12520.0
2918373,32.8075,-116.93555559999999,16168.0
2918405,32.9786111,-115.52944440000002,22185.0
2918408,33.9166667,-117.89916670000001,39542.0
2918413,37.9319444,-121.6947222,46669.0
2918475,33.8675,-117.99722220000001,79157.0
2918487,34.180833299999996,-118.30805559999999,104690.0
2918491,37.584166700000004,-122.365,26777.0
2918528,34.1577778,-118.6375,21368.0
2918536,32.6788889,-115.49805559999999,36389.0
2918542,35.1258333,-117.985,14780.0
2918563,34.2163889,-119.03666670000001,62500.0
2918575,38.6688889,-120.9861111,16232.0
2918595,37.2872222,-121.9488889,36529.0
2918620,33.685,-117.2722222,11582.0
2918629,36.9752778,-121.95222220000001,9573.0
2918638,33.158055600000004,-117.3497222,91070.0
2918649,38.6172222,-121.32722220000001,50992.0
2918655,34.398888899999996,-119.5175,13786.0
2918661,33.83138889999999,-118.2811111,95767.0
2918689,37.694166700000004,-122.0852778,62813.0
2918692,33.7797222,-116.46444440000002,52991.0
2918725,37.595,-120.95666670000001,40082.0
2918726,33.8583333,-118.0638889,53305.0
2918746,34.103055600000005,-117.845,9244.0
2918757,37.679444399999994,-122.1022222,15585.0
2918760,39.7286111,-121.8363889,70565.0
2918767,34.012222200000004,-117.68805559999998,75494.0
2918768,33.8936111,-117.7263889,78211.0
2918777,37.1230556,-120.25916670000001,14898.0
2918784,32.64,-117.08333329999999,213032.0
2918796,34.115,-117.89083329999998,11308.0
2918798,38.707222200000004,-121.28,89430.0
2918807,34.0966667,-117.7188889,35368.0
2918815,37.9411111,-121.93472220000001,11161.0
2918820,38.9583333,-122.62527779999999,14825.0
2918840,36.8252778,-119.70194440000002,86324.0
2918842,33.6802778,-116.17305559999998,30755.0
2918843,36.1397222,-120.35916670000002,16331.0
2918874,34.0738889,-117.31277779999999,52335.0
2918880,34.000555600000006,-118.1588889,13684.0
2918884,33.8958333,-118.21916670000002,96749.0
2918890,37.978055600000005,-122.03,125626.0
2918913,36.0980556,-119.55944440000002,22587.0
2918922,33.8752778,-117.56555559999998,152954.0
2918924,32.6858333,-117.18222220000001,23571.0
2918930,37.9255556,-122.5263889,9154.0
2918936,33.6411111,-117.9177778,109250.0
2918951,37.968888899999996,-121.33972220000001,9670.0
2918958,34.09,-117.88944440000002,48688.0
2918983,34.241944399999994,-117.2847222,11250.0
2919008,33.960555600000006,-118.18444440000002,25606.0
2919012,34.021111100000006,-118.39555559999998,40129.0
2919018,37.3230556,-122.0311111,50934.0
2919032,33.8169444,-118.03638889999999,47371.0
2919043,37.7058333,-122.46083329999999,98959.0
2919046,33.466944399999996,-117.69722220000001,35870.0
2919052,37.8216667,-121.9988889,42852.0
2919063,38.545,-121.73944440000001,65806.0
2919122,35.76888889999999,-119.24611110000001,44757.0
2919145,33.961111100000004,-116.50083329999998,18991.0
2919166,34.028611100000006,-117.80944440000002,58935.0
2919175,36.5433333,-119.38611110000001,18511.0
2919181,38.445555600000006,-121.82222220000001,16244.0
2919217,33.94,-118.13166670000001,111862.0
2919228,34.139444399999995,-117.9763889,22521.0
2919229,37.7022222,-121.93472220000001,38805.0
2919272,37.381111100000005,-121.81638889999999,8141.0
2919275,33.74,-116.93805559999998,13876.0
2919278,33.9244444,-117.98805559999998,9764.0
2919279,34.023888899999996,-118.1711111,125157.0
2919283,37.468888899999996,-122.14,32906.0
2919331,32.7947222,-116.96166670000001,94807.0
2919336,32.7919444,-115.56222220000001,38323.0
2919337,37.915833299999996,-122.31055559999999,23192.0
2919348,34.068611100000005,-118.0266667,125372.0
2919358,33.9191667,-118.41555559999999,16710.0
2919361,37.9772222,-122.29416670000002,13790.0
2919377,38.408888899999994,-121.37055559999999,94497.0
2919407,33.036944399999996,-117.29111110000001,61585.0
2919422,33.1191667,-117.08555559999999,137119.0
2919439,40.8022222,-124.1625,25626.0
2919445,36.296111100000005,-119.1411111,10078.0
2919448,38.644722200000004,-121.2711111,28989.0
2919453,38.249444399999994,-122.0388889,105741.0
2919459,37.678611100000005,-122.04472220000001,9822.0
2919465,33.376388899999995,-117.25027779999999,33617.0
2919475,36.2977778,-119.20583329999998,9743.0
2919508,34.3991667,-118.91722220000001,15386.0
2919534,38.4961111,-121.40777779999999,29808.0
2919544,38.67805560000001,-121.175,67953.0
2919547,34.0922222,-117.43416670000002,169160.0
2919549,38.6763889,-121.3352778,17828.0
2919583,40.5983333,-124.1561111,11162.0
2919585,37.5586111,-122.27,28532.0
2919589,33.709166700000004,-117.95277779999999,56133.0
2919611,37.548333299999996,-121.9875,202615.0
2919620,36.7477778,-119.77138889999999,465183.0
2919637,33.8702778,-117.92444440000001,135353.0
2919647,38.2547222,-121.2988889,23997.0
2919650,37.96388889999999,-121.22833329999999,10523.0
2919652,33.773888899999996,-117.94055559999998,167232.0
2919654,33.8883333,-118.30805559999999,60915.0
2919690,37.0058333,-121.5672222,45309.0
2919695,34.0116667,-117.4838889,16249.0
2919706,34.1425,-118.25416670000001,203201.0
2919708,34.1361111,-117.86444440000001,51541.0
2919743,34.4358333,-119.82666670000002,28351.0
2919745,36.506666700000004,-121.44333329999999,9054.0
2919767,34.033888899999994,-117.31277779999999,12518.0
2919783,39.2191667,-121.06,12297.0
2919803,36.3208333,-121.2427778,13117.0
2919825,35.1216667,-120.6202778,12974.0
2919844,33.993055600000005,-117.9677778,54289.0
2919856,37.4636111,-122.4275,12423.0
2919876,36.3275,-119.6447222,47648.0
2919926,33.83138889999999,-118.0719444,15652.0
2919931,33.916388899999994,-118.35166670000001,87083.0
2919939,37.6688889,-122.0797222,140494.0
2919942,38.610555600000005,-122.86805559999999,11360.0
2919957,33.7475,-116.9711111,69039.0
2919967,38.0172222,-122.2875,23819.0
2919971,33.8622222,-118.3986111,19825.0
2919975,34.4263889,-117.3,73640.0
2920001,34.1283333,-117.20777779999999,51312.0
2920017,37.5741667,-122.37833329999998,10374.0
2920040,36.8525,-121.40055559999999,37485.0
2920107,33.660277799999996,-117.99833329999998,195968.0
2920110,33.9816667,-118.22416670000001,63831.0
2920132,32.8475,-115.5686111,10268.0
2920133,32.5838889,-117.1122222,27091.0
2920149,33.720555600000004,-116.21472220000001,65955.0
2920155,33.9616667,-118.3522222,116158.0
2920178,33.669444399999996,-117.82222220000001,189297.0
2920184,34.4133333,-119.86,17716.0
2920304,36.72361110000001,-120.0588889,10647.0
2920328,36.2127778,-121.125,11431.0
2920332,36.5138889,-119.5530556,11413.0
2920372,34.1991667,-118.18694440000002,21293.0
2920383,33.9319444,-117.9452778,59654.0
2920392,32.7677778,-117.0222222,54087.0
2920393,33.9172222,-118.01111110000001,49963.0
2920395,33.846388899999994,-118.04583329999998,16169.0
2920401,32.7080556,-116.9963889,35119.0
2920402,34.02,-117.94861110000001,42605.0
2920403,33.6633333,-116.30916670000002,37690.0
2920404,38.5669444,-121.35583329999999,10104.0
2920409,34.1008333,-117.76694440000001,33698.0
2920416,37.8858333,-122.11694440000001,24780.0
2920419,33.5422222,-117.7822222,24181.0
2920420,33.6125,-117.71194440000001,30843.0
2920422,33.5225,-117.70666670000001,66291.0
2920425,33.6102778,-117.72444440000001,19862.0
2920437,33.6680556,-117.3263889,40630.0
2920438,33.646944399999995,-117.68833329999998,76733.0
2920461,32.8572222,-116.9213889,19293.0
2920470,33.8536111,-118.13305559999999,82115.0
2920478,35.2597222,-118.91333329999999,14438.0
2920482,34.6980556,-118.13583329999999,129548.0
2920493,37.9341667,-122.53416670000001,11667.0
2920505,37.8227778,-121.27555559999999,13250.0
2920511,33.887222200000004,-118.35166670000001,32841.0
2920532,32.7425,-117.03055559999999,24802.0
2920536,36.3008333,-119.78194440000001,22763.0
2920537,33.938055600000006,-118.35166670000001,23387.0
2920560,38.8916667,-121.29194440000002,33242.0
2920565,39.1277778,-121.5497222,13892.0
2920571,36.203055600000006,-119.08722220000001,10806.0
2920592,37.6819444,-121.76694440000001,80347.0
2920593,37.3869444,-120.7225,12080.0
2920604,38.1302778,-121.27138889999999,62778.0
2920615,34.048333299999996,-117.2602778,20802.0
2920621,33.7922222,-118.31416670000002,20751.0
2920625,34.639166700000004,-120.45694440000001,40957.0
2920632,33.76694439999999,-118.18833329999998,482618.0
2920647,33.80305560000001,-118.07166670000001,11718.0
2920650,37.3852778,-122.11305559999998,26871.0
2920651,37.3797222,-122.1363889,8207.0
2920652,34.0522222,-118.2427778,3877129.0
2920653,37.0583333,-120.84888889999999,33317.0
2920655,37.2266667,-121.9736111,27551.0
2920698,33.9302778,-118.21055559999999,72397.0
2920710,36.961388899999996,-120.05972220000001,51451.0
2920717,39.8122222,-121.57722220000001,11577.0
2920728,34.005,-118.80916670000002,13769.0
2920740,33.8847222,-118.41,37174.0
2920747,37.7975,-121.215,65820.0
2920773,36.6844444,-121.8011111,16957.0
2920792,38.0194444,-122.13305559999999,36702.0
2920798,39.1458333,-121.5902778,12530.0
2920817,33.9866667,-118.18444440000002,28965.0
2920873,36.7536111,-120.38055559999998,8872.0
2920878,37.453888899999995,-122.18111110000001,29071.0
2920881,37.3022222,-120.48194440000002,72619.0
2920925,37.906111100000004,-122.5438889,13219.0
2920926,37.59861110000001,-122.38611110000001,19557.0
2920943,37.4283333,-121.90555559999999,62636.0
2920957,33.9925,-117.51555559999998,18827.0
2920978,33.6,-117.6711111,96287.0
2920988,37.639166700000004,-120.99583329999999,216008.0
2921011,34.148055600000006,-117.99805559999999,38439.0
2921020,34.0775,-117.6888889,35729.0
2921028,34.00944439999999,-118.10444440000002,64327.0
2921030,36.6002778,-121.8936111,30307.0
2921031,34.0625,-118.12194440000002,63193.0
2921049,34.2855556,-118.8811111,37010.0
2921052,37.835,-122.1286111,16826.0
2921059,33.9375,-117.22972220000001,168629.0
2921061,37.1305556,-121.65333329999999,34719.0
2921070,35.3658333,-120.84888889999999,10242.0
2921111,37.3861111,-122.08277779999999,68268.0
2921130,33.5538889,-117.21305559999999,88714.0
2921145,38.2972222,-122.28444440000001,77015.0
2921156,32.67805560000001,-117.0983333,62490.0
2921192,37.5297222,-122.03916670000001,42922.0
2921203,33.618888899999995,-117.9280556,78702.0
2921229,33.9311111,-117.54777779999999,27346.0
2921234,38.931388899999995,-121.08083329999998,12841.0
2921250,38.6858333,-121.37111110000001,45878.0
2921283,33.902222200000004,-118.08083329999998,109111.0
2921287,38.1075,-122.5686111,48817.0
2921315,37.7666667,-120.8461111,18668.0
2921317,37.804444399999994,-122.2697222,394579.0
2921318,37.9975,-121.7113889,26774.0
2921338,33.1958333,-117.3786111,170340.0
2921349,35.4197222,-119.0186111,28962.0
2921386,39.095555600000004,-121.5511111,11919.0
2921397,34.0633333,-117.65,172808.0
2921403,33.7877778,-117.8522222,133874.0
2921405,36.624444399999994,-119.31277779999999,9768.0
2921407,38.678611100000005,-121.2247222,27318.0
2921418,37.8772222,-122.1786111,18251.0
2921430,39.5138889,-121.5552778,13197.0
2921451,34.1975,-119.1761111,187235.0
2921461,36.6177778,-121.91555559999999,15196.0
2921467,37.6138889,-122.48583329999998,36472.0
2921479,33.7222222,-116.3736111,48531.0
2921482,33.8302778,-116.54444440000002,46680.0
2921484,34.57944439999999,-118.1155556,135294.0
2921488,37.4419444,-122.14194440000001,56508.0
2921495,33.8005556,-118.38916670000002,14036.0
2921504,39.7597222,-121.62083329999999,26949.0
2921510,33.889444399999995,-118.1588889,57275.0
2921527,36.6116667,-119.52611110000001,12811.0
2921529,34.1477778,-118.1436111,144618.0
2921536,37.4716667,-121.1286111,15957.0
2921563,33.9752778,-117.475,12697.0
2921588,33.7825,-117.2277778,46318.0
2921592,38.2325,-122.63555559999999,55352.0
2921609,33.98305560000001,-118.09583329999998,66332.0
2921610,37.8244444,-122.23055559999999,10619.0
2921646,38.0044444,-122.29777779999999,19540.0
2921658,35.1427778,-120.64027779999999,8477.0
2921660,38.0280556,-121.88361110000001,62838.0
2921665,33.8722222,-117.86944440000002,49160.0
2921666,38.7297222,-120.7975,10274.0
2921679,37.9480556,-122.05972220000001,34477.0
2921683,37.6625,-121.8736111,66532.0
2921708,34.0552778,-117.7513889,156183.0
2921723,34.1477778,-119.19416670000001,21417.0
2921731,36.0652778,-119.01583329999998,44674.0
2921746,32.9627778,-117.035,49635.0
2921782,34.6452778,-118.21722220000001,10167.0
2921809,33.0416667,-116.8672222,17373.0
2921823,38.5891667,-121.30166670000001,59185.0
2921824,34.1063889,-117.59222220000001,168557.0
2921829,33.7397222,-116.41194440000001,16742.0
2921831,33.7444444,-118.38611110000001,42693.0
2921835,32.7472222,-116.93444440000002,28267.0
2921839,33.6408333,-117.6022222,51344.0
2921869,40.178611100000005,-122.23472220000001,14036.0
2921875,40.5866667,-122.39055559999998,91685.0
2921876,34.055555600000005,-117.18166670000001,70287.0
2921878,33.849166700000005,-118.3875,67791.0
2921881,37.4852778,-122.23527779999999,71969.0
2921893,36.596388899999994,-119.44944440000002,22156.0
2921912,34.1063889,-117.36944440000002,101523.0
2921928,37.9358333,-122.34666670000001,103041.0
2921934,35.6225,-117.67,26110.0
2921953,38.6911111,-121.4475,11128.0
2921959,37.7416667,-121.12333329999998,13591.0
2921964,37.7361111,-120.93444440000002,18775.0
2921969,33.9533333,-117.39527779999999,297554.0
2922004,38.790833299999996,-121.23472220000001,55007.0
2922014,38.339722200000004,-122.7,41314.0
2922027,38.4222222,-122.72694440000001,5986.0
2922029,34.080555600000004,-118.0719444,56066.0
2922030,38.5519444,-121.3636111,23273.0
2922031,38.7522222,-121.28694440000001,112647.0
2922036,33.7855556,-118.08416670000001,10651.0
2922044,33.976111100000004,-117.90444440000002,52377.0
2922046,33.9961111,-117.40472220000001,32235.0
2922066,38.5816667,-121.49333329999999,467898.0
2922080,36.6777778,-121.65444440000002,148691.0
2922093,37.9747222,-122.56055559999999,11936.0
2922099,34.1083333,-117.2888889,202381.0
2922100,37.6305556,-122.41,39662.0
2922101,37.5072222,-122.2594444,26630.0
2922102,33.4269444,-117.6111111,62272.0
2922103,32.7152778,-117.1563889,1287050.0
2922105,34.1066667,-117.80583329999999,36422.0
2922108,34.28194439999999,-118.43805559999998,24524.0
2922109,37.775,-122.41833329999999,732072.0
2922110,34.0961111,-118.105,41535.0
2922114,33.783888899999994,-116.95777779999999,29376.0
2922119,37.3394444,-121.8938889,897460.0
2922122,33.5016667,-117.66166670000001,35301.0
2922125,37.725,-122.155,79904.0
2922126,37.6811111,-122.12333329999998,23201.0
2922129,35.2827778,-120.6586111,44132.0
2922132,33.1433333,-117.1652778,69697.0
2922133,34.1213889,-118.10555559999999,13314.0
2922135,37.563055600000006,-122.32444440000002,89982.0
2922139,37.9622222,-122.34444440000001,31351.0
2922144,37.97361110000001,-122.53,55270.0
2922145,37.78,-121.97694440000001,45993.0
2922164,36.7080556,-119.555,20772.0
2922167,33.7455556,-117.86694440000001,343054.0
2922170,34.4208333,-119.69722220000001,86681.0
2922171,37.3541667,-121.95416670000002,102250.0
2922172,34.3916667,-118.54166670000001,168927.0
2922173,36.974166700000005,-122.02972220000001,54617.0
2922174,33.9472222,-118.08444440000001,16330.0
2922177,34.953055600000006,-120.43472220000001,85480.0
2922178,34.0194444,-118.49027779999999,88338.0
2922181,34.3541667,-119.05833329999999,29015.0
2922185,38.4405556,-122.71333329999999,155118.0
2922194,32.838333299999995,-116.97305559999998,52600.0
2922197,37.2638889,-122.02194440000001,28956.0
2922232,37.0511111,-122.0136111,11120.0
2922242,33.7413889,-118.1038889,24404.0
2922247,36.6111111,-121.85055559999999,35762.0
2922258,36.5708333,-119.6111111,22426.0
2922288,35.500555600000006,-119.27083329999999,14396.0
2922297,40.680555600000005,-122.36972220000001,10611.0
2922342,34.161666700000005,-118.05194440000001,11090.0
2922351,33.804444399999994,-118.16694440000002,10576.0
2922360,34.2694444,-118.78055559999999,119417.0
2922407,32.991111100000005,-117.27027779999999,12909.0
2922408,36.4247222,-121.3252778,28140.0
2922417,38.2919444,-122.45694440000001,9773.0
2922424,36.9880556,-121.95555559999998,5096.0
2922440,34.0519444,-118.04583329999998,22049.0
2922443,33.9547222,-118.2111111,99922.0
2922446,38.9333333,-119.98333329999998,23925.0
2922453,34.116111100000005,-118.14944440000001,24994.0
2922455,37.6547222,-122.40666670000002,58555.0
2922457,34.0127778,-117.9038889,21779.0
2922465,33.9608333,-118.04083329999999,58952.0
2922467,39.1166667,-121.63805559999999,15217.0
2922495,32.7447222,-116.99805559999999,26180.0
2922516,37.4241667,-122.165,12574.0
2922519,33.8025,-117.9922222,37914.0
2922538,37.9577778,-121.2897222,289580.0
2922578,38.2383333,-122.03916670000001,27219.0
2922592,33.709166700000004,-117.1963889,19579.0
2922609,37.368888899999995,-122.03527779999999,126499.0
2922630,40.416388899999994,-120.65194440000002,17641.0
2922660,35.1425,-119.45555559999998,9295.0
2922706,35.1322222,-118.44805559999999,12009.0
2922709,33.4936111,-117.1475,85145.0
2922713,34.1072222,-118.05694440000002,37973.0
2922751,34.17055560000001,-118.83666670000001,127942.0
2922762,37.873611100000005,-122.45555559999998,8632.0
2922800,33.8358333,-118.33972220000001,144963.0
2922810,37.7397222,-121.42416670000001,83216.0
2922833,39.328055600000006,-120.18222220000001,15771.0
2922841,36.2077778,-119.3463889,50103.0
2922848,37.4947222,-120.84555559999998,67940.0
2922850,33.7458333,-117.8252778,68728.0
2922851,33.764444399999995,-117.79305559999999,24257.0
2922857,34.1355556,-116.05333329999999,22642.0
2922876,39.1502778,-123.20666670000001,15825.0
2922883,37.595833299999995,-122.01805559999998,69530.0
2922891,34.0975,-117.6475,74230.0
2922900,38.3566667,-121.98666670000001,96469.0
2922907,34.0452778,-117.94277779999999,23721.0
2922913,38.1041667,-122.25555559999998,120446.0
2922966,34.53611110000001,-117.2902778,83496.0
2922989,36.3302778,-119.29111110000001,107431.0
2922990,33.2,-117.24166670000001,92707.0
2923019,34.0202778,-117.86444440000001,31720.0
2923020,37.906388899999996,-122.0638889,65179.0
2923024,33.96805560000001,-118.22416670000001,17168.0
2923040,35.5941667,-119.34,22813.0
2923050,36.910277799999996,-121.75583329999999,45724.0
2923078,33.923333299999996,-118.3025,9355.0
2923081,33.8216667,-118.29166670000001,21947.0
2923084,34.068611100000005,-117.93805559999998,109756.0
2923089,34.09,-118.36083329999998,37031.0
